lyrics,release_date,release_date_for_display,full_title,featured_video,header_image_thumbnail_url,header_image_url,lyrics_state,song_art_image_thumbnail_url,song_art_image_url,title,title_with_featured,featured_artists,artist_name,artist_id
"Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

Dry! ...Me a desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been!
Mmmmm!
But I wake up and act like nothing's wrong
Just get ready fi...

Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
Ner ner ner ner ner ner!
When yuh ago learn learn learn learn learn learn!
Before the tables turn turn turn turn turn turn!

Beg you something, please
Baby don't you leave
Don’t leave me stuck here in the streets, uh huh
If I get another chance to
I will never, no never neglect you
I mean who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe!!!
I have to

Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work!
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

Yeah, okay
You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you
When I see potential I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it, if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh
I spilled all my emotions tonight, I’m sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face to face
You could pick the time and the place
You spent some time away
Now you need to forward and give me all the...

Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He se me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn
Meh nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

Mmmmm, mmmmm
Mmmmm, mmmmm
Work, work, work, work, work, work
Mmmmm, mmmmm",2016-01-27,"January 27, 2016",Work by Rihanna (Ft. Drake),True,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.genius.com/286c7810f1bbcc0d5465b9ecab71c29b.300x300x1.jpg,https://images.genius.com/286c7810f1bbcc0d5465b9ecab71c29b.1000x1000x1.jpg,Work,Work (Ft. Drake),"[{'api_path': '/artists/130', 'header_image_url': 'https://images.genius.com/df1fb638e8955739be4ea33269d4ab3b.1000x513x10.gif', 'id': 130, 'image_url': 'https://images.genius.com/99d310b7ff0b5cd8b7259c8ec0df8e12.537x537x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Drake', 'url': 'https://genius.com/artists/Drake'}]",Rihanna,89
"Mustard on the beat, ho!

I was good on my own, that's the way it was
That's the way it was
You was good on the low for a faded fuck
On some faded love
Shit, what the fuck you complaining for?
Feeling jaded, huh?
Used to trip off that shit I was kickin' to you
Had some fun on the run though I'll give it to you

But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me

You been rollin' around, shit I'm rollin' up
Light and roll it up
Break it down, like a pound, shit was never us
Shit was never us
That's the real, on the real, are you serious?
How you feel, how you feel?
Used to trip off that shit I was kickin' to ya
Had some fun on the run though, I'll give it to ya

But baby, don't get it twisted
You was just another nigga on the hit list
Tryna fix your inner issues with a bad bitch
Didn't they tell you that I was a savage?
Fuck ya white horse and ya carriage
Bet you never could imagine
Never told you you could have it

You needed me
Ooh, you needed me
To feel a little more, and give a little less
Know you hate to confess
But baby ooh, you needed me",2016-01-28,"January 28, 2016",Needed Me by Rihanna,True,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.rapgenius.com/13031e30d3fe64f307ed762d387d58f2.300x300x1.jpg,https://images.rapgenius.com/13031e30d3fe64f307ed762d387d58f2.600x600x1.jpg,Needed Me,Needed Me,[],Rihanna,89
"And you got me like, ""Oh, what you want from me?""
(What you want from me?)
And I tried to buy your pretty heart, but the price too high
Baby, you got me like ""Oh""
You love when I fall apart (fall apart)
So you can put me together and throw me against the wall

Baby you got me like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Owwwwww

And babe I’m fist-fighting with fire
Just to get close to you
Can we burn something babe
And I run for miles just to get a taste
Must be love on the brain
That’s got me feeling this way
It beats me black and blue but it fucks me so good
And I can’t get enough
Must be love on the brain yeah
And it keeps cursing my name
No matter what I do
I’m no good without you
And I can’t get enough
Must be love on the..... brain

Baby keep loving me
Just love me
Yeah, just love me
All you need to do is love me, yeah
Got me like, ah-ha-ha-owww
I’m tired of being played like a violin
What do I gotta do to get in your motherfuckin’ heart?
Baby like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii

Baby you got me like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Ooooooohhh

And babe I’m fist-fighting with fire
Just to get close to you
Can we burn something babe
And I run for miles just to get a taste
Must be love on the brain
That’s got me feeling this way
It beats me black and blue but it fucks me so good
And I can’t get enough
Must be love on the brain yeah
And it keeps cursing my name
No matter what I do
I’m no good without you
And I can’t get enough
Must be love on the.... brain",2016-01-28,"January 28, 2016",Love on the Brain by Rihanna,False,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.genius.com/f8cf63fc2d0865d1e2b6f7809eaa5de7.300x300x1.jpg,https://images.genius.com/f8cf63fc2d0865d1e2b6f7809eaa5de7.1000x1000x1.jpg,Love on the Brain,Love on the Brain,[],Rihanna,89
"All along it was a fever
A cold sweat, hot-headed believer
I threw my hands in the air, said show me something
He said, “If you dare, come a little closer”

Round and around and around and around we go
Oh now tell me now tell me now tell me now you know

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
I want you to stay

It's not much of a life you're living
It's not just something you take, it's given

Round and around and around and around we go
Oh, now tell me now, tell me now, tell me now you know

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
And I want you to stay

Ooh, the reason I hold on
Ooh, 'cause I need this hole gone
Funny you're the broken one
But I'm the only one who needed saving
'Cause when you never see the light
It's hard to know which one of us is caving

Not really sure how to feel about it
Something in the way you move
Makes me feel like I can't live without you
And it takes me all the way
I want you to stay

Stay
I want you to stay
Ooh",2013-01-07,"January 7, 2013",Stay by Rihanna (Ft. Mikky Ekko),False,https://images.genius.com/4fdaed37a6f53b920224e85ed1e9043c.300x300x1.jpg,https://images.genius.com/4fdaed37a6f53b920224e85ed1e9043c.1000x1000x1.jpg,complete,https://images.genius.com/dd6f6559ac537baf036183b8c36ad845.300x300x1.png,https://images.genius.com/dd6f6559ac537baf036183b8c36ad845.600x600x1.png,Stay,Stay (Ft. Mikky Ekko),"[{'api_path': '/artists/28450', 'header_image_url': 'https://images.genius.com/4d5d94341e7dd37948b9614507448775.600x600x1.jpg', 'id': 28450, 'image_url': 'https://images.genius.com/567884583e23c3c330bee44f817b22a2.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Mikky Ekko', 'url': 'https://genius.com/artists/Mikky-ekko'}]",Rihanna,89
"Kiss it, kiss it better, baby
Kiss it, kiss it better, baby

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You yell, but cha take me back
Who cares, when it feels like crack?
Boy, ya know that you always do it right

Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

Been waitin' on that sunshine, boy
I think I need that back
Can't do it like that
No one else gon' get it like that
So why argue? You here, here to take me back
Who cares, when it feels like crack?
Boy, ya know that you always do it right

Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

I’ve been waitin' up all night
Baby tell me what’s wrong?
You're gonna make it right, make it all night long
I’ve been waiting up all night
Baby, tell me, what’s wrong?
Going to make it right, make it all night long

Man, fuck yo pride
Just take it on back, boy, take it on back, boy
Take it back all night
Just take it on back, take it on back
Mmm, do what cha gotta do, keep me up all night
Hurtin' vibe, man, it hurts inside when I look you in yo eye

What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
What are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)
Oh, what are you willing to do?
Oh, tell me what you’re willing to do
(Kiss it, kiss it better, baby)

Kiss it, kiss it better, baby
Kiss it, kiss it better, baby",2016-01-28,"January 28, 2016",Kiss it Better by Rihanna,True,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.rapgenius.com/53edb896e3646b40a46dff0bc855488b.300x300x1.jpg,https://images.rapgenius.com/53edb896e3646b40a46dff0bc855488b.600x600x1.jpg,Kiss it Better,Kiss it Better,[],Rihanna,89
"Sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, so amazing
Sex with me, so amazing

Vodka and water, and a lemon
And a few other things I cannot mention
Oh-na-na-na-na
Five fingers on it (five fingers)
Hit it like you own it, I’ma hit it like I’m on it
Straight shots of the blue dot
(Shots, shots, shots, shots)
Baby, I’ma pick your  poison
Oh-we, ah-yeah, you gon’ need it
I’m off that la-la
I’ma get it wet like jacuzzi, ah-yea

And sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm

You know I got the sauce (sauce), you know I’m saucy
And it’s always wet, a bitch never ever had to use lip gloss on it
I’ma need you deeper than six, it's not a coffin
We’re not making love, tryna get nasty
Wrap up your drugs, come make me happy
Sex with me is amazing, with her it’ll feel alright
The sex doesn’t get any better, make it long, let it be all night
I know, I know, I make it hard to let go
Tonight, all night, I’m Monroe
Even if I’m alone

Sex with me, so amazing
All this all hard work, no vacation
Stay up off my Instagram, pure temptation
Hit a switch on a fake nigga, like a station
Sex with me, sex with me, sex with me
So amazing, so amazing, mmmm

Sex with me, so amazing
Sex with me so amazing
(This is the best there is)",2016-01-28,"January 28, 2016",Sex with Me by Rihanna,False,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,Sex with Me,Sex with Me,[],Rihanna,89
"Yayo, yayo
Mula-la
Yayo

Bitch better have my money
Y'all should know me well enough
Bitch better have my money
Please don't call me on my bluff
Pay me what you owe me
Ballin' bigger than LeBron
Bitch, give me your money
Who y'all think y'all frontin' on?
Like bra, bra, bra

Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (bitch better have my)
Bitch better have my (bitch better have my)
Bitch better have my money

Turn up to Rihanna while the whole club fuckin' wasted
Every time I drop, I am the only thing y'all playin'
In a drop top, doin' hundred, y'all in my rearview mirror racin'
Where y'all at? Where y'all at? Where y'all at?
Like bra, bra, bra

Louis XIII, and it's all on me, nigga, you just bought a shot
Kamikaze, if you think that you gon' knock me off the top
Shit, your wife in the backseat of my brand new foreign car
Don't act like you forgot
I call the shots, shots, shots
Like bra, bra, bra
Pay me what you owe me, don't act like you forgot

Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (bitch better have my)
Bitch better have my (bitch better have my)
Bitch better have my money
Bitch better have my money
Bitch better have my money
Pay me what you owe me
Bitch better have my (bitch better have my)
Bitch better have my (bitch better have my)
Bitch better have my money

Bitch better have my money
Bitch better have my money
Bitch, bitch, bitch better have my money
Yo, that bitch better have my money
Hold up
My money
Yo, my money
That bitch better have my money
Bitch better have my money",2015-03-26,"March 26, 2015",Bitch Better Have My Money by Rihanna,True,https://images.genius.com/f109ee3a9b4a793fb674d25a20020af4.300x300x1.png,https://images.genius.com/f109ee3a9b4a793fb674d25a20020af4.1000x1000x1.png,complete,https://images.genius.com/f109ee3a9b4a793fb674d25a20020af4.300x300x1.png,https://images.genius.com/f109ee3a9b4a793fb674d25a20020af4.1000x1000x1.png,Bitch Better Have My Money,Bitch Better Have My Money,[],Rihanna,89
"I came fluttering in from Neverland
Time can never stop me, no, no, no, no
I know you've tried to
I came riding in on a pale white horse
Handing out highs to less fortunate
I do advise you
Run it back, run it on back
When you breaking it down for me
Cause I can't hear you, two times
Run it on back, will it ever make sense to me?

I got to do things my own way darling
Will you ever let me
Will you ever respect me? No
Do things my own way darling
You should just let me
Why you ain't ever let me grow?

When I look outside my window
I can't get no piece of mind
When I look outside my window
I can't get no peace of mind

Let me cover your shit in glitter
I could make it gold, gold
Heard you tryna sell your soul, baby
Word on the street, you run it low lately
I needed you to please give my reflection a break
From the face it’s seeing now
Ooh darling, gahhlee
Would you mind giving my reflection a break
From the pain it’s feeling now?

I got to do things my own way darling
You should just let me
Will you ever respect me? No
Do things my own way darling
You should just let me
Why you ain't ever let me grow?

When I look outside my window
I can't get no piece of mind
When I look outside my window
I can't get no peace of mind

Get no piece
Get no peace
Get, get, getting no peace
Can't get no peace
(Get, g-g-get no peace oh)",2016-01-28,"January 28, 2016",Consideration by Rihanna (Ft. SZA),False,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,Consideration,Consideration (Ft. SZA),"[{'api_path': '/artists/41579', 'header_image_url': 'https://images.genius.com/bebfa73bff3ce553704e7c7e3c58b12f.1000x508x1.jpg', 'id': 41579, 'image_url': 'https://images.genius.com/d72d06a449b2ad3e48a84387e9c8dd4d.421x421x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'SZA', 'url': 'https://genius.com/artists/Sza', 'iq': 4062}]",Rihanna,89
"Shine bright like a diamond
Shine bright like a diamond

Find light in the beautiful sea
I choose to be happy
You and I, you and I
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

I knew that we'd become one right away
Oh, right away
At first sight, I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight
You and I
We're beautiful, like diamonds in the sky
Eye to eye
So alive
We're beautiful, like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky

Palms rise to the universe
As we moonshine and molly
Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky

At first sight I felt the energy of sun rays
I saw the life inside your eyes

So shine bright, tonight
You and I
We're beautiful, like diamonds in the sky
Eye to eye
So alive
We're beautiful, like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful, like diamonds in the sky

Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond

So shine bright, tonight
You and I
We're beautiful, like diamonds in the sky
Eye to eye
So alive
We're beautiful, like diamonds in the sky

Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Oh-oh, yeah
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Shine bright like a diamond",2012-09-27,"September 27, 2012",Diamonds by Rihanna,True,https://images.genius.com/4fdaed37a6f53b920224e85ed1e9043c.300x300x1.jpg,https://images.genius.com/4fdaed37a6f53b920224e85ed1e9043c.1000x1000x1.jpg,complete,https://images.genius.com/d31652f8a9f5ae2afc54525cff56b883.300x300x1.jpg,https://images.genius.com/d31652f8a9f5ae2afc54525cff56b883.1000x1000x1.jpg,Diamonds,Diamonds,[],Rihanna,89
"Desperado
Sittin' in an old Monte Carlo
A man whose heart is hollow
Mhm, take it easy
I'm not tryna go against yuh
Actually, I'm goin' witcha

Gotta get up out of here
And yuh ain't leavin' me behind
I know you won't cause we share common interests
You need me, there ain't no leaving me behind
Never, no, no, I just want outta here, yeah
Once I'm gone, ain’t no going back

If you want, we can be runaways
Running from any sight of love
Yeah, yeah, there ain’t nothin'
There ain't nothin' here for me
There ain't nothin' here for me anymore
But I don't wanna be alone

Desperado
Sitting on your ole' Monte Carlo
We've both had our hearts broke
Unh, hunh, take it easy
I'm not tryna go against yuh
I can be a lone wolf witcha

Gotta get up out of here
And you ain't leaving me behind
I know you won't cause we share common interests
You need me, there ain't no leaving me behind
Never, no, no, both want outta here, yeah
Once we're gone, ain’t no going back

If you want, we can be runaways
Running from any sight of love
Yeah, yeah, there ain’t nothin'
There ain't nothin' here for me
There ain't nothin' here for me anymore
But I don't wanna be alone

Dear desperado
Yeah, I don't wanna be alone
Dear desperado
Yeah, I don't wanna be alone

If you want, we can be runaways
Running from any sight of love
Yeah, yeah, there ain’t nothin'
There ain't nothin' here for me
There ain't nothin' here for me anymore
But I don't wanna be alone

Yeah-yeah-ah
Yeah-yeah-ah
Yeah-yeah-ah
Yeah-yeah-ah
Yeah-yeah-ah
Yeah-yeah-ah",2016-01-28,"January 28, 2016",Desperado by Rihanna,False,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,complete,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.300x300x1.jpg,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,Desperado,Desperado,[],Rihanna,89
