,name_track,duration_ms,explicit,artists_track,featuring,track_number,disc_number,name_album,artist,uri_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,clean_title,lyrics
0,S&M,243533,False,['Rihanna'],False,1,1,Loud,Rihanna,spotify:track:0C4ejWmOTMv8vuYj85mf8m,0.7659999999999999,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.10400000000000001,0.833,127.96600000000001,4,sandm,"Na-na-na, c'mon
Na-na-na-na, c'mon
Na-na-na, c'mon, c'mon, c'mon
Na-na-na-na, c'mon
Na-na-na, c'mon
Na-na-na-na, c'mon
Na-na-na, c'mon, c'mon, c'mon
Na-na-na-na, c'mon

Feels so good being bad (Oh-oh-oh-oh-oh)
There's no way I'm turning back (Oh-oh-oh-oh-oh)
Now the pain is my pleasure, 'cause nothing could measure
(Oh-oh-oh-oh-oh-oh-oh)
Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, outta line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more
(Oh-oh-oh-oh-oh-oh-oh)

'Cause I may be bad, but I'm perfectly good at it
Sex in the air
I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me
'Cause I may be bad, but I'm perfectly good at it
Sex in the air
I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me

Na-na-na, c'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it

Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, outta line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more
(Oh-oh-oh-oh-oh-oh-oh)

'Cause I may be bad, but I'm perfectly good at it
Sex in the air
I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me

Na-na-na, c'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it

S-S-S and M-M-M
S-S-S and M-M-M

Oh, I love the feeling you bring to me
Oh, you turn me on
It's exactly what I've been yearning for
Give it to me strong
And meet me in my boudoir
Make my body say, ""Ah-ah-ah""
I like it, like it

'Cause I may be bad, but I'm perfectly good at it
Sex in the air
I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me
'Cause I may be bad, but I'm perfectly good at it
Sex in the air
I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me

Na-na-na, c'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it
C'mon, c'mon, c'mon
I like it, like it

S-S-S and M-M-M
S-S-S and M-M-M
S-S-S and M-M-M
S-S-S and M-M-M"
12,What's My Name?,263173,False,"['Rihanna', 'Drake']",True,2,1,Loud,Rihanna,spotify:track:5FTCKvxzqy72ceS4Ujux4N,0.69,0.7859999999999999,2,-2.9589999999999996,1,0.0692,0.22899999999999998,0.0,0.0797,0.583,100.04899999999999,4,whats_my_name,"Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name, what's my name?

Uh, yeah
I heard you good with them soft lips
Yeah, you know word of mouth
The square root of 69 is 8 somethin', right?
'Cause I've been tryna work it out, oh
Uh, good weed, white wine
Uh, I come alive in the night time, yeah
Okay, away we go
Only thing we have on is the radio
Let it play
Say you gotta leave, but I know you wanna stay
You just waitin' on the traffic jam to finish girl
The things that we could do in twenty minutes girl
Say my name, say my name, wear it out
It's gettin' hot, crack a window, air it out
I can get you through a mighty long day
Soon as you go the text that I write is gon' say

Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name, what's my name?

Not everybody
Knows how to work my body
Knows how to make me want it
But boy, you stay up on it
You got that somethin'
That keeps me so off balance
Baby, you're a challenge
Let's explore your talent

Hey boy, I really wanna see if you
Can go downtown with a girl like me
Hey boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work, uh
Ohh-oh-oh, ohh-oh-oh
Hey boy, I really wanna see if you
Can go downtown with a girl like me
Hey boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work, uh
Ohh-oh-oh, ohh-oh-oh

Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name, what's my name?

Baby, you got me
And ain't nowhere that I'd be
Than with your arms around me
Back and forth, you rock me, yeah
So I surrender
To every word you whisper
Every door you enter
I will let you in

Hey boy, I really wanna see if you
Can go downtown with a girl like me
Hey boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work, uh
Ohh-oh-oh, ohh-oh-oh

You're so amazing, you took the time to figure me out
That's why you take me, way past the point of turnin' me on
You 'bout to break me
I swear you got me losin' my mind

Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

Hey boy, I really wanna see if you
Can go downtown with a girl like me
Hey boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work, uh
Ohh-oh-oh, ohh-oh-oh
Hey boy, I really wanna see if you
Can go downtown with a girl like me
Hey boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work, uh
Ohh-oh-oh, ohh-oh-oh"
13,Cheers (Drink To That),261746,False,['Rihanna'],False,3,1,Loud,Rihanna,spotify:track:5Lm8wha7kmEuqyjJ237HNM,0.5760000000000001,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.98100000000001,4,cheers,"Takin' shots in here, you want one?
(Yeah, yeah, yeah, yeah...)

Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh, let the Jameson sink in
I drink to that, yeah yeah
Don’t let the bastards get you down
Turn it around with another round
There’s a party at the bar
Everybody put your glasses up, and I drink to that
(Yeah, yeah, yeah, yeah...)
I drink to that

Life’s too short to be sitting around miserable
People gonna talk whether you doing bad or good, yeah
Got a drink on my mind, and my mind on my money, yeah
Looking so bomb, gonna find me a honey

Got my Ray-Bans on and I’m feeling hella cool tonight, yeah
Everybody’s vibing, so don’t nobody start a fight, yeah
(Yeah, yeah, yeah, yeah...)

Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh, let the Jameson sink in
I drink to that, yeah yeah
Don’t let the bastards get you down
Turn it around with another round
There’s a party at the bar
Everybody put your glasses up, and I drink to that
(Yeah, yeah, yeah, yeah...)
I drink to that

'Bout to hop on the bar
Put it all on my card tonight, yeah
Might be mad in the morning, but you know we goin' hard tonight
It’s getting Coyote Ugly up in here, no Tyra
It’s only up from here, no downward spiral

Got my Ray-Bans on and I’m feeling hella cool tonight, yeah
Everybody’s vibing, so don’t nobody start a fight, yeah

Cheers to the freakin' weekend
I drink to that, yeah yeah
Oh, let the Jameson sink in
I drink to that, yeah yeah
Don’t let the bastards get you down
Turn it around with another round
There’s a party at the bar
Everybody put your glasses up, and I drink to that
(Yeah, yeah, yeah, yeah...)
I drink to that

Cheers to the freaking weekend
I drink to that, yeah yeah
Oh, let the Jameson sink in
I drink to that, yeah yeah
Don’t let the bastards get you down
Turn it around with another round
There’s a party at the bar
Everybody put your glasses up, and I drink to that
(Yeah, yeah, yeah, yeah...)
I drink to that

And I drink to that
(Yeah, yeah, yeah, yeah...)
I drink to that
And I drink to that"
15,Fading,207253,False,['Rihanna'],False,4,1,Loud,Rihanna,spotify:track:2P9zV8VmHIPEYK2U2s0lUi,0.677,0.698,6,-5.07,1,0.16699999999999998,0.0442,1.59e-06,0.157,0.32299999999999995,88.344,4,fading,"You say you love me, but they feel like words to me
Well, this just ain't working
Stop thinking you can run over me
Drifting, settling off to a foreign place
If I can't see what's in front of me, it's a mystery
Well, then apparently...

Things just ain't the same
And I'm ready for change
Go on, be gone
Bye bye, so long

Can't you see that you're fading?
Fading, fading, fa-a-ading away, away, away, away
I opened up my eyes
And I finally realized today, today, it's too late
You're fading away

Put a sock in it
Just stop running your mouth
Got my mind made up
I ain't coming back again
No way, no way, no way, no way
'Cause I'm so fed up
Boy, you got me messed up, if we hooking back up
Don't press your luck today, today
I'm blowing you away, yeah yeah

Things just ain't the same
And I'm ready for change
Go on, be gone
Ta-ta, so long

Can't you see that you're fading?
Fading, fading, fa-a-ading away, away, away, away
I opened up my eyes
And I finally realized today, today, it's too late
You're fading away

Saw you turn into a ghost right in front of my eyes
Tell me what's a girl to do when she's crying inside?
I'm about to go insane
I'm jumping off this train
Whether wrong or right, I'll be gone by night

Can't you see that you're fading?
Fading, fading, fa-a-ading away, away, away, away
I opened up my eyes
And I finally realized today, today, it's too late
You're fading away"
16,Only Girl (In The World),235493,False,['Rihanna'],False,5,1,Loud,Rihanna,spotify:track:0AH6WMe3OlAlUb5miXt2FQ,0.789,0.716,11,-4.2410000000000005,0,0.0434,0.13,1.09e-05,0.069,0.609,125.91,4,only_girl,"La-la-la-la
La-la-la-la
La-la-la-la (Uh, yeah)
La-la-la-la

I want you to love me like I'm a hot ride (Uh, yeah)
Be thinking of me
Doing what you like
So boy, forget about the world
'Cause it's gon' be me and you tonight (Yeah)
I wanna make you beg for it
Then I'ma make you swallow your pride, ooh

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one

Want you to take it like a thief in the night
Hold me like a pillow
Make me feel right (Feel right)
Baby, I'll tell you all my secrets that I'm keeping
You can come inside (Yeah)
And when you enter, you ain't leaving
Be my prisoner for the night, ooh

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one

Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Make it last all night

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man
Only girl in the world
Girl in the world
Only girl in the world
Girl in the world"
17,California King Bed,251613,False,['Rihanna'],False,6,1,Loud,Rihanna,spotify:track:0uIGzK6ukV0A5yWoCxPkRL,0.467,0.586,7,-3.9419999999999997,1,0.0357,0.218,0.0,0.12,0.318,169.93,4,california_king_bed,"Chest to chest (Chest to chest)
Nose to nose (Nose to nose)
Palm to palm
We were always just that close (Just that close)
Wrist to wrist (Wrist to wrist)
Toe to toe (Toe to toe)
Lips that felt just like the inside of a rose

So, how come when I reach out my finger
It feels like more than distance between us?

In this California king bed
We're ten thousand miles apart
I've been California wishing on these stars
For your heart, for me
My California king

Eye to eye (Eye to eye)
Cheek to cheek (Cheek to cheek)
Side by side
You were sleeping next to me (Next to me)
Arm in arm
Dusk to dawn
With the curtains drawn, and a little last night on these sheets

So, how come when I reach out my fingers
It seems like more than distance between us?

In this California king bed
We're ten thousand miles apart
I've been California wishing on these stars
For your heart, for me
My California king

Just when I felt like giving up on us
You turned around and gave me one last touch
That made everything feel better
And even then, my eyes got wetter
So confused, wanna ask you if you love me
But I don't wanna seem so weak
Maybe I've been California dreaming

In this California king bed
We're ten thousand miles apart
I've been California wishing on these stars
For your heart, for me
My California king
My California king
In this California king bed
We're ten thousand miles apart
I've been California wishing on these stars
For your heart, for me
My California king
(California king)"
27,Man Down,267000,True,['Rihanna'],False,7,1,Loud,Rihanna,spotify:track:1Bx0zEdVjkFlV27iKaePug,0.47700000000000004,0.904,0,-4.024,0,0.177,0.0437,0.0,0.0491,0.552,155.781,4,man_down,"Sak pasé!

I didn't mean to end his life
I know it wasn't right
I can't even sleep at night
Can't get it off my mind
I need to get out of sight
'fore I end up behind bars
What started out as a simple altercation
Turned into a real sticky situation
Me just thinking on the time that I'm facing makes me wanna cry

'Cause I didn't mean to hurt him
Coulda been somebody's son
And I took his heart when I pulled out that gun
Rum-pum-pum-pum, rum-pum-pum-pum, rum-pum-pum-pum
Man down
Rum-pum-pum-pum, rum-pum-pum-pum, rum-pum-pum-pum
Man down

Oh, mama, mama, mama, I just shot a man down
In central station
In front of a big ol' crowd
Oh, why?
Oh, why?
Oh, mama, mama, mama, I just shot a man down
In central station

It's a twenty-two, I call her Peggy Sue
When she fits right down in my shoes
Whatchu expect me to do if you're playing me for a fool?
I will lose my cool and reach for my firearm
I didn't mean to lay him down
But it's too late to turn back now
Don't know what I was thinking
Now he's no longer living
So I'm 'bout to leave town, aye-uh

'Cause I didn't mean to hurt him
Coulda been somebody's son
And I took his heart when I pulled out that gun
Rum-pum-pum-pum, rum-pum-pum-pum, rum-pum-pum-pum
Man down
Rum-pum-pum-pum, rum-pum-pum-pum, rum-pum-pum-pum
Man down

Oh, mama, mama, mama, I just shot a man down
In central station
In front of a big ol' crowd
Oh, why?
Oh, why?
Oh, mama, mama, mama, I just shot a man down
(Criminal) In central station

Look, I'd never thought I'd do it
Never thought I'd do it
Never thought I'd do it
Oh gosh, whatever happened to me, ever happened to me, ever happened to me?
Why did I pull the trigger, pull the trigger, pull the trigger
Boom!
And end a nigga, end a nigga life so soon?
When mi pull the trigger, pull the trigger, pull it pon' you
Somebody tell me what I'm gonna, what I'm gonna do?
Eh, rum-pum-pum-pum, rum-pum-pum-pum, rum-pum-pum-pum
Mi say wah man down
A weh mi say
Rum-pum-pum-pum, rum-pum-pum-pum, rum-pum-pum-pum
When mi went downtown
'Cause now I am criminal, criminal, criminal
Oh Lord, oh mercy
Now I am a criminal
Man down
Tell the judge please gimme minimal
Run out a town, none a dem cah see mi now (See mi now)

Oh, mama, mama, mama, I just shot a man down
In central station
In front of a big ol' crowd
Oh, why?
Oh, why?
Oh, mama, mama, mama, I just shot a man down
In central station"
28,Raining Men,224840,True,"['Rihanna', 'Nicki Minaj']",True,8,1,Loud,Rihanna,spotify:track:1gCWLA71vXQmINwo6WxH4t,0.655,0.802,10,-4.8180000000000005,0,0.17600000000000002,0.015,0.0,0.337,0.845,157.93200000000002,4,raining_men,"Eenie, meenie, minie, mo
Catch a playa by the toe
If you want to, let him go
Ladies don’t worry, 'cause they got plenty more

Men be falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Oh, it's raining men, girl, what you worry ’bout?

Who you think you getting with that ""Hi, let me freak ya""?
You got me mistaken thinking you gon' get it easy
First of all, you need to know that I’m not the one
Think you getting something, baby, you ain't getting none
All you need to know that I’m a two times five
Load it, cock it, aim it, baby, boom bye-bye
Set your standards lower, baby, you’re aiming too high
Matter of fact, your friend looks better, so goodbye

Eenie, meenie, minie, mo
Catch a playa by the toe
If you want to, let him go
Ladies don’t worry, 'cause they got plenty more

Men be falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Oh, it's raining men, girl, what you worry ’bout?

Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah yeah
Oh, woah woah woah

Excuse me, but who are you fixin' to be?
Let them muthafuckas know there’s plenty fish in the sea
And he sweatin' me just ‘cause I got the tightest hole
But I couldn’t find that th-thing with a microscope
Give me dome, dome, da-da-da-da-da-dome, dome, dome
I ain’t trippin’ on your money, money, long, long, long
Want my own TV production company
So tell Harpo to hit me, Celie
Anyway, RiRi, what rhymes with your name freely?
Money got you vacationing in Chile
Do you wanna sit on the back while I wheelie?
Really? Really? No, for real, really?
Laid out on the beach, they be feeding me my catfishes
‘Cause it’s raining men, fat bitches

Men be falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Oh, it's raining men, girl, what you worry ’bout?

Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah yeah
Oh, woah woah woah

I said ay, outta my way, where my ladies?
I'm living good, doing big things
Dancing don't pay
Player keep the money
I can buy my own drink
Up in the club
See me coming
Dime a dozen, so it don’t mean nothing to me
And I ain't even worried about you homie, because there’s plenty more fish in the sea

Eenie, meenie, minie, mo
Catch a playa by the toe
If you want to, let him go
Ladies don’t worry, 'cause they got plenty more

Men be falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Falling like the rain, so we ain't runnin' out
Oh, it's raining men, girl, what you worry ’bout?

Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah yeah
Oh, woah woah woah
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah
Oh, whoa whoa
Oh, yeah yeah yeah
Oh, woah woah woah"
29,Complicated,257506,True,['Rihanna'],False,9,1,Loud,Rihanna,spotify:track:2irJDnniX31d1ja0a13q4p,0.71,0.897,0,-3.802,1,0.0372,0.175,0.0,0.0918,0.33,137.972,4,complicated,"You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no

Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?

Sometimes I get you
Sometimes I don't understand
Sometimes I love you
Sometimes it's you I can't stand
Sometimes I wanna hug you
Sometimes I wanna push you away
Most times I wanna kiss you
Other times, punch you in the face
'Cause every minute you start switching up
And you say things like you don't give a fuck
Then I say I'm through with you
Take my heart from you
And you come running after me, and baby, I'm back with you

You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no

Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?

Sometimes I catch you
Sometimes you get away
Sometimes I read you
Other times I'm like, ""Where are you on the page?""
Sometimes I feel like we will be together forever
But you're so complicated, my heart knows better

Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?

I'mma stick around just a little while longer
Just to make sure that you're really sure you like sleeping alone
I'mma stick around just a little while longer
Just to make sure that you're really sure you like sleeping alone

Why is everything with you so complicated?
Why do you make it hard to love you?
Oh, I hate it
'Cause if you really wanna be alone, I will throw my hands up
'Cause baby, I tried
But everything with you is so complicated
Oh, why?

You're not easy to love
You're not easy to love, no
You're not easy to love
You're not easy to love, no"
30,Skin,303733,False,['Rihanna'],False,10,1,Loud,Rihanna,spotify:track:0a2JCinEvl21WeWLJBt7hM,0.638,0.573,7,-6.843,0,0.0449,0.139,0.0,0.13,0.114,126.99799999999999,4,skin,"The mood is set (Ha, ha)
So you already know what's next (Uh-huh, ah)
TV on blast, turn it down, turn it down
Don't want it to clash
With my body screaming out (No, oh-oh)
I know you hearin' it (Hu-uh-uh)
You got me moanin' now

I got a secret that I wanna show you, oh
I got a secret so, I'mma drop em to the floor, oh
No teasin', you waited long enough
Go deep, I'mma throw it at you
Can you catch it? Don't hold back
You know I like it rough
Know I'm feelin' you, huh
Know you liking it, huh

So why you standin' over there witcha clothes on?
Baby, strip down for me, go on, take 'em off
Don't worry, baby, I'mma meet you halfway
'Cause I know you wanna see me

Almost there (ha, ha)
So baby don't stop what you're doing (Uh-huh, ah)
Softer than a mutha, boy, I know you wanna touch
Breathing down my neck, I can tell you wanna (No-o-ow)
And now you want it like (Oh, o-o-oh)
Want you to feel it now

I got a secret that I wanna show you, ooh
I got a secret so, I'mma drop em to the floor, oh
No teasin', you waited long enough
Go deep, I'mma throw it at you
Can you catch it? Don't hold back
You know I like it rough
Know I'm feelin' you, huh
Know you liking it, huh

So why you standin' over there witcha clothes on?
Baby, strip down for me, go on, take 'em off
Don't worry, baby, I'mma meet you halfway
'Cause I know you wanna see me

No heels, no shirt, no skirt, all I'm in is just skin
No jeans, take 'em off, wanna feel your skin
You a beast, oh, you know that I like that skin
Come here baby, all I wanna see you in is just skin
O-o-oh, oh, oh, oh your skin
O-o-oh, oh, oh, oh just skin
O-o-oh, oh, oh, oh, I'm lovin' your skin
Oh, oh

All in, baby, don't hold nothing back
Wanna take control, ain't nothing wrong with that
Say you likin' how I'm feelin', gotta tell me that
Just put your skin, baby on my skin

No heels, no shirt, no skirt, all I'm in is just skin
No jeans, take 'em off, wanna feel your skin
You a beast, oh, you know that I like that skin
Come here baby, all I wanna see you in is just skin
O-o-oh, oh, oh, oh your skin
O-o-oh, oh, oh, oh just skin
O-o-oh, oh, oh, oh, I'm lovin' your skin
Oh, oh
No heels, no shirt, no skirt, all I'm in is just skin
No jeans, take 'em off, wanna feel your skin
You a beast, oh, you know that I like that skin
Come here baby, all I wanna see you in is just skin

All I wanna see you in is just skin
All I wanna see you in is just skin
Oooh
All I wanna see you in
All I wanna see you in is your skin, oh"
