name_track,duration_ms,explicit,artists_track,artists_track_uri,featuring,track_number,disc_number,name_album,artist,total_tracks,uri_track,uri_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,clean_title,lyrics,lyrics_state,all_artists,first_artist
Nice 'N' Easy - Remastered,165786,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,1,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:5onosMoIeq82BvOgpsZqaO,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.479,0.22,0,-11.427,1,0.0327,0.8759999999999999,0.0,0.111,0.471,109.937,4,nice_n_easy,"Let's take it nice and easy
It's gonna be so easy
For us to fall in love
Hey baby what's your hurry
Relax and don't you worry
We're gonna fall in love
We're on the road to romance - that's safe to say
But let's make all the stops along the way
The problem now of course is
To simply hold your horses
To rush would be a crime
'Cause nice and easy does it
Nice 'n' easy does it
Nice 'n' easy does it every time
""Like the man says, 'one more time' ""
Nice 'n' easy does it
Nice 'n' easy does it
Nice 'n' easy does it every time",complete,Frank Sinatra,Frank Sinatra
Ol' Macdonald,160306,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,2,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:0mbxjGR00powlsIq7CB3u7,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.608,0.407,11,-8.869,0,0.0375,0.738,0.0,0.181,0.73,84.75,4,ol_macdonald,"Ol' MacDonald had a farm, E-I-E-I-O
And on this farm there was a chick
The purtiest chick I know
With a little curve here and a little curve there
This chick, she had curves everywhere
Ol' MacDonald had a farm, E-I-E-I-O
And oh, this chick, she had a walk, E-I-E-I-O
And how this walk would drive 'em wild swingin' to and 'fro
With a little wiggle here and a little wiggle there
Man, this chick had wiggles to spare
Ol' MacDonald had a farm, E-I-E-I-O
When she went walkin' into town, E-I-E-I-O
The local gentry popped their eyes
Tarnation, what a show
With a ""goldang"" here and a ""goshdarn"" there
""Heavens to Betsy"" I do declare
Ol' MacDonald had a farm E-I-E-I-O
There was a barn dance Saturday night, E-I-E-I-O
And the fellas came from miles around
Just to see her do-si-do
With a promenade here and a promenade there
At a square dance, boy, this chick was no square
Ol' MacDonald had a farm, E-I-E-I-O
I used to be a travelling man, E-I-O
Until I hit MacDonald's place things were mighty slow
With a little chick here and a little chick there
I didn't have a real chick anywhere
Ol' MacDonald had a farm, E-I-E-I-O
This farmer's daughter knocked me out, E-I-E-I-O, ah-hah
I asked MacDonald for her hand
And Pappy hollered ""Go!""
With a little curve here and a little wiggle there
A ""goldang"" here and a ""goshdarn"" there
A do-si-do here and a promenade there
Got my own private county fair
'cause ol' MacDonald had a farm, E-I-O-I-O!!",complete,Frank Sinatra,Frank Sinatra
Sentimental Baby,156280,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,3,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:4CMxuFLacEaVyLdACisO6P,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.29,0.146,1,-14.814,1,0.0294,0.899,0.0005009999999999999,0.16899999999999998,0.285,82.29799999999999,3,sentimental_baby,"Sentimental baby, sweet and gentle baby
Just the way a baby oughta be
Heaven in the morning, heaven in the evening
How did such an angel get to me?
Cuddle and caress me, snuggle up and ""Yes"" me
I'm a guy who loves a clinging vine
Kiss me, baby, kiss me and then
Do it, baby, over again
Sentimental baby, tell me you're my baby
Sentimental baby of mine
Instrumental-first line of second verse
I'm a guy who loves a clinging vine
Kiss me, baby, kiss me and then
Do it, baby, all over again
Sentimental baby, tell me you're my baby
Sentimental baby of mine",complete,Frank Sinatra,Frank Sinatra
Love Looks So Well On You,158893,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,4,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:1jpAMwdyZJ1lUzypmKplHQ,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.203,0.287,8,-10.445,1,0.0317,0.901,0.0004570000000000001,0.107,0.201,85.471,4,love_looks_so_well_on_you,"Like moonlight looks on a country side, like a rose that's silvered with dew
Like sunlight looks on a meadow, love looks so well on you
Like children look on a carousel, all the joys they feel shining through
Like picnics look on a Sunday, love looks so well on you
It's bright as the starlight in your eyes, with stardust in your hair
And oh, that expression on your face, is one you should always wear
Everyday you grow even lovelier, yes, you do, my darling, you do
I love you every day of your life, cause love looks so well on you",complete,Frank Sinatra,Frank Sinatra
Sleep Warm,166066,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,5,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:0232TyVstS0QYV9dJ6dT7U,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.146,0.174,10,-15.175999999999998,1,0.032,0.929,0.0142,0.11,0.139,88.00399999999998,5,sleep_warm,"Sleep warm, sleep tight, when you turn off the light
Sleep warm, sleep well, my love
Rest your head on your pillow, what a lucky pillow
Close to you, so close to you all night
Sleep warm, sleep well, let dreams within you dwell
Sweet dreams of me, my love
Close your eyes now and kiss me, and whisper you miss me
Sleep tight, sleep well, sleep warm",complete,Frank Sinatra,Frank Sinatra
What Are You Doing The Rest Of Your Life?,243400,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,6,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:69jIg8wAYkvS50VM1kVOZ1,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.21,0.27,7,-11.027,1,0.0328,0.701,2.11e-06,0.132,0.187,168.692,3,what_are_you_doing_the_rest_of_your_life,"I want to see your face in every kind of light
In fields of dawn and forests of the night
And when you stand before the candles on a cake
Oh, let me be the one to hear the silent wish you make
What are you doing the rest of your life?
North and South and East and West of your life
I have only one request of your life
That you spend it all with me
All the seasons and the times of your days
All the nickels and the dimes of your days
Let the reasons and the rhymes of your days
All begin and end with me
I want to see your face in every kind of light
In the fields of dawn and the forests of the night
And when you stand before the candles on a cake
Oh, let me be the one to hear the silent wish you make
Those tomorrows waiting deep in your eyes
In the world of love that you keep in your eyes
I'll awaken what's asleep in your eyes
It may take a kiss or two
Through all of my life
Summer, Winter, Spring, and Fall of my life
All I ever will recall of my life
Is all of my life with you",complete,Frank Sinatra,Frank Sinatra
The Summer Knows,162133,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,7,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:0j4YolVWkLWMpZUKkhrpkI,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.145,0.149,2,-15.0,1,0.0356,0.919,7.900000000000001e-05,0.126,0.0776,50.359,4,the_summer_knows,"Verse 1:
The summer smiles, the summer knows, and unashamed, she sheds her clothes
The summer smoothes the restless sky
And lovingly she warms the sand on which you lie
The summer knows, the summer's wise, she sees the doubts within your eyes
And so she takes her summertime, tells the moon to wait and the sun to linger
Twist the world around her summer finger
Lets you see the wonder of it all
And if you learned your lesson well
There's little more for her to tell
One last caress, it's time to dress for fall",complete,Frank Sinatra,Frank Sinatra
"Summer Me, Winter Me",246226,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,8,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:5QtiXJLpOZuAw7wmZruH3N,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.12,0.26,10,-12.032,1,0.0367,0.715,0.00022,0.142,0.17,77.392,4,summer_me_winter_me,"Writer(s): Bergman/Bergman/Legrand
Summer me, winter me
And with your kisses
Morning me, evening me
And as the world slips
Far away, star away
Forever me with love
Wonder me, wander me
Then by a fire
Pleasure me, peaceful me
And in the silence
Quietly, whisper me
Forever me with love
Forever me with love
And ev'ry day I'll
Gentle you, tender you
And oh, the way I'll
Velvet you, clover you
I'll wrap you up and
Ribbon you, rainbow you
And shower you with shine!
Suddenly, magically
We found each other
There we were, here we are
I plan to let you
Happy me, summer me
Winter me, always be mine!",complete,Frank Sinatra,Frank Sinatra
L.A. Is My Lady,195160,False,"['Frank Sinatra', 'Quincy Jones']","['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0', 'spotify:artist:3rxIQc9kWT6Ueg4BhnOwRK']",True,9,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:1mg5xXuAFmXqleQaeQYkII,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.502,0.5760000000000001,10,-8.548,1,0.059,0.6920000000000001,0.0,0.119,0.5489999999999999,112.812,4,la_is_my_lady,"The music she moves to, is music that makes me a dancer
I brought her my wildest of dreams, and she came up with the answer
I leave behind a part of myself, whenever I leave her
But oh, when I'm back in her arms
She smiles and then - I am home again
'Cause L.A. is my lady
She's always there for me
L.A. is my lady
She knows how to care for me
No lady's sweeter - you know it the moment you meet her
I've been in love more times, than I care to remember
And love's kept me cool in July and warm in December
It may not have lasted, but each time I thought it was heaven
You name it, I've been there and back
Lookin' for someone who - I'd be faithful to
L.A. is my lady
She's always there for me
L.A. is my lady
She knows how to care for me
She's good to me - yeah she's good to me
And that's why
L.A. is my lady - L.A. is my lady
And you're lookin' at a man who - doesn't ever plan to
Kiss his lady bye-bye",complete,"Frank Sinatra, Quincy Jones",Frank Sinatra
How Do You Keep The Music Playing?,235200,False,"['Frank Sinatra', 'Quincy Jones']","['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0', 'spotify:artist:3rxIQc9kWT6Ueg4BhnOwRK']",True,10,1,Sinatra Sings Alan & Marilyn Bergman,Frank Sinatra,13,spotify:track:3UKm7lMwJwTxx3D15Gl0l9,spotify:album:5CUT8cFNmHeCBzrX8eMdiE,0.386,0.198,0,-15.674,1,0.0332,0.95,0.000193,0.0692,0.267,76.09100000000002,4,how_do_you_keep_the_music_playing,"(Lorrie)
How do you keep the music playing, how do you make it last
How do keep the song from fading too fast
How do you lose yourself to someone, and never lose your way
How do you not run out of new things to say
(Frank)
My funny Valentine
Sweet comic Valentine
You make me smile with my heart
(Lorrie)
And since you know we're always changing
(Frank)
Your looks are laughable
(Lorrie)
How can it be the same
(Frank)
Unphotographable
Yet you're my favourite work of art
(Lorrie)
You're sure your heart will fall apart, each time you hear her name
(Frank)
Is your figure less than Greek
Is your mouth a little weak
When you open it to speak
Are you smart?
(Lorrie)
If we can be the best of lovers, yet be the best of friends
If we can try with every day, to make it better as it goes
(Frank)
Don't you change one hair for me
Not if you care for me
(Both)
Stay little Valentine, please stay
(Lorrie)
With any luck than I suppose, the music never ends
(Frank)
Each day is Valentine's, Valentine's Day
(Frank)
Winter time
(Lorrie)
Winter time
(Frank)
Summer time
(Lorrie)
Summer time
(Frank)
Evening time
(Lorrie)
Evening time
(Frank)
Or any time
(Both)
I love you",complete,"Frank Sinatra, Quincy Jones",Frank Sinatra
