,Unnamed: 0.1,name_track,duration_ms,explicit,artists_track,artists_track_uri,featuring,track_number,disc_number,name_album,artists_album,total_tracks,uri_track,uri_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,clean_title,lyrics_state,lyrics
0,21,Taking a Chance On Love - 2007 - Remaster,135226,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,9,1,I've Got You Under My Skin,Frank Sinatra,20,spotify:track:6gIMJUVN8GTEsOyXGAKnaQ,spotify:album:5RsGXBfziufICYJyhHa6ZA,0.54,0.336,6,-10.941,1,0.0553,0.213,0.0,0.0766,0.642,129.184,4,taking_a_chance_on_love,complete,"Writer(s): Latouche/Fetter/Duke

Here I go again
I hear those trumpets blow again
All aglow again
Taking a chance on love

Here I slide again
About to take that ride again
Starry eyed again
Taking a chance on love

I thought that cards were a frame-up
I never would try
Now I'm taking that game up
And the ace of hearts is high

Things are mending now
I see a rainbow blending now
We'll have a happy ending now
Taking a chance on love

Here I slip again
About to take that trip again
I got that grip again
Taking a chance on love

Now I prove again
That I can make life move again
I'm in a grove again
Taking a chance on love

I walk around with a horseshoe
In clover I lie
And brother rabbit of course you
Better kiss your foot good-bye

On that ball again
I'm riding for a fall again
I'm gonna give my all again
Taking a chance on love"
1,40,"Something - Live At The Budokan Hall, Tokyo / 1985",304920,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,8,1,Sinatra In Japan (Live At The Budokan/1985),Frank Sinatra,27,spotify:track:2OrQuVkmdCFdMvwzpstjyO,spotify:album:2psFHuOfa0fqKvkSk9UZel,0.29100000000000004,0.208,7,-14.655,1,0.0487,0.619,7.43e-06,0.319,0.116,136.803,4,something,complete,"Something in the way she moves, attracts me like no other lover
Something in the way she woos me, I don't wanna leave her now
You know I believe in how.....

Somewhere in her smile she knows, that I don't need no other lover
Something in her style that shows me. I don't wanna leave her now
You know I believe in how.....

You're askin' me will my love grow, I don't know, I don't know?
Just stick around now, it may show. I don't know, I don't know?

Something in the way she knows, and all I have to do is think of her
Something in the things she shows me. I don't wanna leave her now
You know I believe in how.....

You're askin me will my love grow. I don't know, no I don't know?
You stick around now, it may show. I don't know, I don't know?

Something in the way she knows me, and all I have to do is just think
Of her. Something in the things she shows me. I don't wanna leave her
Now. You know I believe in how.....

Don't want to leave her now....."
2,50,"Concierto de Aranjuez - Live At The Budokan Hall, Tokyo / 1985",245773,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,18,1,Sinatra In Japan (Live At The Budokan/1985),Frank Sinatra,27,spotify:track:4loQxvF0LlVNERaiQXvH8N,spotify:album:2psFHuOfa0fqKvkSk9UZel,0.451,0.304,4,-22.523000000000003,0,0.0714,0.858,0.403,0.677,0.521,90.112,4,concierto_de_aranjuez,,
3,58,"Bows: You Are There - Live At The Budokan Hall, Tokyo/1985",131093,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,8,2,Sinatra In Japan (Live At The Budokan/1985),Frank Sinatra,27,spotify:track:1A4BxQTeR6DAI2Rtqrjm0t,spotify:album:2psFHuOfa0fqKvkSk9UZel,0.184,0.515,3,-6.119,0,0.0364,0.92,0.922,0.254,0.175,130.384,3,bows_you_are_there,complete,[Instrumental]
4,69,"The Shadow Of Your Smile - Live At The Sands Hotel And Casino, Las Vegas/1966 / Show 2",149266,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,10,1,Standing Room Only,Frank Sinatra,57,spotify:track:4DkWwsxmyi9Es0EVkytkWZ,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.226,0.264,2,-19.208,0,0.0907,0.871,1.7899999999999998e-05,0.73,0.301,41.661,3,the_shadow_of_your_smile,complete,"The shadow of your smile
When you have gone
Will color all my dreams
And light the dawn

Look into my eyes, my love, and see
All the lovely things, you are, to me

Our wistful little star

It was far, too high
A teardrop kissed your lips
And so, so did i

Now when I remember spring
And every little lovely thing
I will be remembering
The shadow of your smile
Your lovely smile"
5,71,"It Was A Very Good Year - Live At The Sands Hotel And Casino, Las Vegas/1966 / Show 2",236800,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,12,1,Standing Room Only,Frank Sinatra,57,spotify:track:19oquvXf3bc65GSqtPYA5S,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.269,0.129,7,-18.168,0,0.0576,0.938,4.87e-06,0.6829999999999999,0.16,82.33200000000002,3,it_was_a_very_good_year,complete,"[Verse 1]
When I was seventeen
It was a very good year
It was a very good year for small town girls
And soft summer nights
We'd hide from the lights
On the village green
When I was seventeen

[Verse 2]
When I was twenty-one
It was a very good year
It was a very good year for city girls
Who lived up the stair
With all that perfumed hair
And it came undone
When I was twenty-one

[Verse 3]
When I was thirty-five
It was a very good year
It was a very good year for blue-blooded girls
Of independent means
We'd ride in limousines
Their chauffeurs would drive
When I was thirty-five

[Verse 4]
But now the days are short
I'm in the autumn of the year
And now I think of my life as vintage wine
From fine old kegs
From the brim to the dregs
It poured sweet and clear
It was a very good year"
6,92,"Bows: My Way - Live At The Spectrum, Philadelphia, Pennsylvania / October 7, 1974",105546,False,['Frank Sinatra'],['spotify:artist:1Mxqyy3pSjf8kZZL4QVxS0'],False,17,2,Standing Room Only,Frank Sinatra,57,spotify:track:0mvcIHRpXrHUPdPGiO8s3c,spotify:album:07DrDjDuFyuEuOhKR3c6HU,0.448,0.917,10,-6.1110000000000015,1,0.0352,0.461,0.0213,0.3720000000000001,0.485,111.966,4,bows_my_way,,"[Couplet]
Uh
Mets ta vie sur pause pour mon reality show
L'impression de t'infiltrer dans la vie d'un autre
J'te décris c'qui a dans mon cerveau comme un livre audio
Où vivre les choses deep que j'ose même pas dire tout haut
Tout est tellement ugly que j'sais pu quoi dire de beau
J'me sens comme un ovni à toujours me sentir de trop
J'essaye de cope avec les alibis des amis qui m'chokent
Les promesses vides comme les baggies de dope après leurs nuits d'débauche
Le poids qu'j'ai sur mes épaules feel comme mille kilos
J'veux quitter la Milky Way pis speeder loin des crisses d'idiots
À l'abris des bidonvilles pis des CEO
Loin des visions tristes, des millions des riches pis des bills d'Hydro
Loin des babyboomers pis des milléniaux
Loin des barreaux d'la prison qu'est notre libido
J'voudrais m'enfuir de mes vices et mes fautes
Les jours où j'me dis qu'j't'une cause perdue aussi pire que les autres
Mais yo
Mon mal de tête est horrible
I'm feeling great regardless
J'aimerais gouter le vin, I'm waiting for the grapes to blossom
Fuck 'em all, I did it my way, Frank Sinatra
Fuck être fade, j'veux une vie spicy plein d'Sriracha
Pendant que Mase prie God, praising all the faith in gospel
J'perds la foi que j'ai en l'humanité
Ainsi soit-il
Pendant qu'le jour fade away, j'trouve que mon destin est awkward
Pendant qu'les meds fade away, j'trouve que mon brain est garbage
J'bois d'la vodka sur les rocks, I'm getting faded off it
J'aime ça raise mes enfants as much as I hate my father
J'voulais rise to stardom comme Kaytranada
Mais j'savais déjà qu'le fame c'est awful quand c'tait Kaytradamus
Maintenant le game de l'industrie just makes me nauseous
L'impression d'nager dans un océan d'requins qui talkshit
Empty promises déguisées en poignées de mains
Dans l'autre j'vois ton flingue, t'es lame en calisse
On tue les hommes faibles comme JFK à Dallas
Pour un gars comme moi, place enough que c'est un grave in coffin
Oublie la politique, j'suis blasé depuis les days de Harper
