,name_track,duration_ms,explicit,artists_track,artists_track_uri,featuring,track_number,disc_number,name_album,artists_album,total_tracks,uri_track,uri_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Premonition - Intro,173893,True,['Eminem'],['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'],False,1,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:7ccTcabbJlCJiIqtrSSwBk,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.847,0.637,1,-5.193,1,0.367,0.0258,0.000648,0.382,0.511,165.979,4
1,Unaccommodating (feat. Young M.A),216600,True,"['Eminem', 'Young M.A']","['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:7LvoDJUNGnOrPdGRzVtOJ9']",True,2,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:0q2vG0UVuy6ajjcpkQHdZM,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.852,0.752,1,-5.793,1,0.0597,0.0169,0.0,0.394,0.389,89.95,4
2,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",234653,True,"['Eminem', 'Royce Da 5\'9""', 'White Gold']","['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:6DVipHzYsPlIoA0DW8Gmns', 'spotify:artist:79KQgTCu4wV38ECYKn62DZ']",True,3,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:0GQ5bFTVFFKpwNPc7KwQnB,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.68,0.82,4,-4.197,0,0.151,0.0614,0.0,0.597,0.243,140.033,4
3,Alfred - Interlude,30133,True,['Eminem'],['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'],False,4,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:4EmunTy7kNBYQivOa8F6b8,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.429,0.231,5,-20.43,1,0.402,0.878,0.0,0.279,0.914,74.545,5
4,Those Kinda Nights (feat. Ed Sheeran),177693,True,"['Eminem', 'Ed Sheeran']","['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:6eUKZXaKkcviH0Ku9w2n3V']",True,5,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:0VSzREd1OjEWJ9tXoFHRQH,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.794,0.637,4,-6.29,0,0.339,0.028,0.0,0.0919,0.393,103.868,4
5,In Too Deep,194706,True,['Eminem'],['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'],False,6,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:7Dj2wqPYXfSRFwa6qyOztr,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.72,0.767,10,-5.839,0,0.214,0.0387,0.0,0.202,0.595,88.966,4
6,Godzilla (feat. Juice WRLD),210800,True,"['Eminem', 'Juice WRLD']","['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:4MCBfE4596Uoi2O4DtmEMz']",True,7,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,4
7,Darkness,337146,True,['Eminem'],['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'],False,8,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:5SiZJoLXp3WOl3J4C8IK0d,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.671,0.623,2,-7.161,1,0.308,0.00998,7.55e-06,0.643,0.195,75.055,4
8,Leaving Heaven (feat. Skylar Grey),265946,True,"['Eminem', 'Skylar Grey']","['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:4utLUGcTvOJFr6aqIJtYWV']",True,9,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:5CpsIb7SMFHjmAG8RvIWfq,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.661,0.748,2,-4.809,0,0.206,0.175,0.0,0.254,0.509,171.983,3
9,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",286960,True,"['Eminem', 'Royce Da 5\'9""', 'Black Thought', 'Q-Tip', 'Denaun']","['spotify:artist:7dGJo4pcD2V6oG8kP0tJRR', 'spotify:artist:6DVipHzYsPlIoA0DW8Gmns', 'spotify:artist:6DJEUXZm0e2rAohdoZ5Voo', 'spotify:artist:3ZotbHeyVQKxQCPDJuQ4SU', 'spotify:artist:1WjexdTcXHgvlVIPCE8D1Q']",True,10,1,Music To Be Murdered By,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",20,spotify:track:5mZXWEH2eh8zMZGCxT5aW0,spotify:album:4otkd9As6YaxxEkIjXPiZ6,0.458,0.966,1,-2.107,1,0.384,0.14,0.0,0.11,0.356,183.586,4
