,name_track,duration_ms,explicit,artists_track,artists_track_uri,featuring,track_number,disc_number,name_album,artists_album,total_tracks,uri_track,uri_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,This Place Hotel (a.k.a. Heartbreak Hotel),343413,False,['The Jacksons'],['spotify:artist:2yrbLiuBmc9j81lTX3XUuI'],False,1,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:2BU4dK1fu1CFLjTBz7ju7Q,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.731,0.851,4,-4.085,0,0.103,0.243,0.000142,0.117,0.582,97.005,4
1,Thriller,358053,False,['Michael Jackson'],['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,2,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:7azo4rpSUh8nXgtonC6Pkq,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.764,0.887,11,-3.725,1,0.0738,0.0816,0.000108,0.847,0.721,118.421,4
2,Blood on the Dance Floor,253373,False,['Michael Jackson'],['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,3,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:0QgsvILuE9VQiAVsLStD3W,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.806,0.816,1,-2.767,1,0.0764,0.0148,0.00978,0.0623,0.52,108.98,4
3,Somebody's Watching Me - Single Version,237760,False,['Rockwell'],['spotify:artist:3xs0LEzcPXtgNfMNcHzLIP'],False,4,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:6A4Jc8npNo79BOgsrPptLA,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.767,0.712,1,-4.128,0,0.0324,0.0409,8.08e-05,0.132,0.804,124.091,4
4,Dirty Diana - 2012 Remaster,280946,False,['Michael Jackson'],['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,5,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:4FC7GMnGwYeAjuvC83Srbs,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.734,0.801,3,-4.525,1,0.0437,0.178,0.000401,0.324,0.331,131.424,4
5,Torture,293120,False,['The Jacksons'],['spotify:artist:2yrbLiuBmc9j81lTX3XUuI'],False,6,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:0XOuVAHsANAWw0LF0Yxkw5,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.754,0.836,8,-4.703,1,0.0425,0.0179,2.53e-06,0.35,0.965,131.131,4
6,Leave Me Alone - 2012 Remaster,279426,False,['Michael Jackson'],['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,7,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:7zILPDxYcUt7AFslua0mc5,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.844,0.964,4,-3.262,1,0.137,0.333,0.00329,0.0743,0.656,123.574,4
7,Scream,277960,False,"['Michael Jackson', 'Janet Jackson']","['spotify:artist:3fMbdgg4jU18AjLCKBhRSm', 'spotify:artist:4qwGe91Bz9K2T8jXTZ815W']",True,8,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:46576CnmgT6xr0RaZNF2Kt,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.782,0.965,0,-3.894,1,0.115,0.0981,1.09e-05,0.251,0.546,106.529,4
8,Dangerous,418626,False,['Michael Jackson'],['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,9,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:3Jo8w8vow92GQAbBJas0I5,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.943,0.681,10,-4.931,1,0.125,0.0287,4.1e-05,0.114,0.579,112.947,4
9,Unbreakable,385866,False,['Michael Jackson'],['spotify:artist:3fMbdgg4jU18AjLCKBhRSm'],False,10,1,Scream,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fMbdgg4jU18AjLCKBhRSm'}, 'href': 'https://api.spotify.com/v1/artists/3fMbdgg4jU18AjLCKBhRSm', 'id': '3fMbdgg4jU18AjLCKBhRSm', 'name': 'Michael Jackson', 'type': 'artist', 'uri': 'spotify:artist:3fMbdgg4jU18AjLCKBhRSm'}]",14,spotify:track:4nLKSthLekoSBbI2S6B1LT,spotify:album:2X8UOIkZQdcz2Hi5Ynt2uk,0.784,0.825,1,-2.187,1,0.146,0.0373,0.0407,0.0789,0.827,94.064,4
