,name_track,duration_ms,explicit,artists_track,featuring,track_number,disc_number,name_album,artist,uri_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,S&M,243533,False,['Rihanna'],False,1,1,Loud,Rihanna,spotify:track:0C4ejWmOTMv8vuYj85mf8m,0.766,0.682,1,-5.02,1,0.0419,0.0113,0.00016,0.104,0.833,127.966,4
1,What's My Name?,263173,False,"['Rihanna', 'Drake']",True,2,1,Loud,Rihanna,spotify:track:5FTCKvxzqy72ceS4Ujux4N,0.69,0.786,2,-2.959,1,0.0692,0.229,0.0,0.0797,0.583,100.049,4
2,Cheers (Drink To That),261746,False,['Rihanna'],False,3,1,Loud,Rihanna,spotify:track:5Lm8wha7kmEuqyjJ237HNM,0.576,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.981,4
3,Fading,207253,False,['Rihanna'],False,4,1,Loud,Rihanna,spotify:track:2P9zV8VmHIPEYK2U2s0lUi,0.677,0.698,6,-5.07,1,0.167,0.0442,1.59e-06,0.157,0.323,88.344,4
4,Only Girl (In The World),235493,False,['Rihanna'],False,5,1,Loud,Rihanna,spotify:track:0AH6WMe3OlAlUb5miXt2FQ,0.789,0.716,11,-4.241,0,0.0434,0.13,1.09e-05,0.069,0.609,125.91,4
5,California King Bed,251613,False,['Rihanna'],False,6,1,Loud,Rihanna,spotify:track:0uIGzK6ukV0A5yWoCxPkRL,0.467,0.586,7,-3.942,1,0.0357,0.218,0.0,0.12,0.318,169.93,4
6,Man Down,267000,True,['Rihanna'],False,7,1,Loud,Rihanna,spotify:track:1Bx0zEdVjkFlV27iKaePug,0.477,0.904,0,-4.024,0,0.177,0.0437,0.0,0.0491,0.552,155.781,4
7,Raining Men,224840,True,"['Rihanna', 'Nicki Minaj']",True,8,1,Loud,Rihanna,spotify:track:1gCWLA71vXQmINwo6WxH4t,0.655,0.802,10,-4.818,0,0.176,0.015,0.0,0.337,0.845,157.932,4
8,Complicated,257506,True,['Rihanna'],False,9,1,Loud,Rihanna,spotify:track:2irJDnniX31d1ja0a13q4p,0.71,0.897,0,-3.802,1,0.0372,0.175,0.0,0.0918,0.33,137.972,4
9,Skin,303733,False,['Rihanna'],False,10,1,Loud,Rihanna,spotify:track:0a2JCinEvl21WeWLJBt7hM,0.638,0.573,7,-6.843,0,0.0449,0.139,0.0,0.13,0.114,126.998,4
10,Love The Way You Lie (Part II) - Pt. 2,296226,True,"['Rihanna', 'Eminem']",True,11,1,Loud,Rihanna,spotify:track:6M6lsQB4OhqL41eld29PeC,0.472,0.833,10,-4.486,1,0.162,0.297,0.0,0.056,0.413,166.271,4
11,Only Girl (In The World) - The Bimbo Jones Club,437466,False,"['Rihanna', 'Marc Jackson Burrows', 'Lee Dagger']",True,12,1,Loud,Rihanna,spotify:track:2H7D14ayVHyNSNNGVmatyA,0.705,0.941,11,-5.211,0,0.0418,0.0135,0.0153,0.292,0.744,127.868,4
12,Umbrella,275986,False,"['Rihanna', 'JAY-Z']",True,1,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,4
13,Push Up On Me,195040,False,['Rihanna'],False,2,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:6QV8q0qVAyHjlnqQ39YIe1,0.791,0.88,1,-5.398,1,0.06,0.0142,0.119,0.033,0.641,119.939,4
14,Don't Stop The Music,267080,False,['Rihanna'],False,3,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,4
15,Breakin' Dishes,200573,False,['Rihanna'],False,4,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:46aZJc0z1HHHSFxaIRxYSP,0.801,0.674,8,-4.185,0,0.0311,0.000282,0.000139,0.0914,0.875,125.009,4
16,Shut Up And Drive,212280,False,['Rihanna'],False,5,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,0.735,0.826,1,-4.902,1,0.0349,0.00101,0.129,0.197,0.74,132.964,4
17,Hate That I Love You,218946,False,"['Rihanna', 'Ne-Yo']",True,6,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:7iu0WYLdo4yksKf3seaxzI,0.637,0.73,5,-5.38,0,0.0874,0.323,0.0,0.0981,0.732,93.867,4
18,Say It,250666,False,['Rihanna'],False,7,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:1X0PGm7eJoC6LmXpczYeaN,0.575,0.588,1,-6.659,1,0.0515,0.0867,0.0,0.344,0.401,156.797,4
19,Sell Me Candy,165133,False,['Rihanna'],False,8,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:4jfHNGbzF5EGAD3iET0lsd,0.653,0.909,8,-5.059,1,0.196,0.142,0.0,0.0365,0.72,85.318,4
20,Lemme Get That,221026,False,['Rihanna'],False,9,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:1pKEXuXVJ9PCJj2BNrG4kX,0.704,0.894,8,-5.731,1,0.165,0.103,0.000221,0.075,0.723,175.842,4
21,Rehab,294720,False,['Rihanna'],False,10,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:5X3ahLXhOw16BR09GjYPUT,0.583,0.792,1,-5.894,1,0.0533,0.00321,4.92e-05,0.315,0.397,80.055,4
22,Question Existing,245493,False,['Rihanna'],False,11,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:5hfB5nQatLPlqyKmVEpEVI,0.255,0.656,11,-5.783,1,0.0769,0.144,0.0,0.365,0.276,178.356,3
23,Good Girl Gone Bad,213213,False,['Rihanna'],False,12,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:6g1B0hd6rlT3xP3mERUnz8,0.708,0.553,5,-6.319,0,0.0262,0.0335,0.0,0.101,0.589,94.977,4
24,Disturbia,238626,False,['Rihanna'],False,13,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:2VOomzT6VavJOGBeySqaMc,0.707,0.813,11,-4.515,0,0.0571,0.0863,0.0,0.168,0.722,124.921,4
25,Take A Bow,229413,False,['Rihanna'],False,14,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:3goSVuTt3fDYDP6kRnFwuL,0.697,0.467,9,-7.536,1,0.0715,0.248,0.0,0.0941,0.572,82.082,4
26,If I Never See Your Face Again,198240,False,"['Maroon 5', 'Rihanna']",True,15,1,Good Girl Gone Bad: Reloaded,Rihanna,spotify:track:2CtaTmkRB7csW9XAZbWHDq,0.763,0.781,6,-3.718,1,0.0357,0.00468,5.27e-06,0.116,0.914,106.015,4
27,Umbrella - Seamus Haji & Paul Emanuel,238240,False,"['Rihanna', 'JAY-Z', 'Seamus Haji', 'Paul Emanuel']",True,1,1,Good Girl Gone Bad: The Remixes,Rihanna,spotify:track:2b15tXMkdnrTVmTxktq7Tq,0.765,0.845,1,-3.223,1,0.0591,9.1e-05,6.65e-06,0.0713,0.764,125.003,4
28,Disturbia - Jody den Broeder,231173,False,['Rihanna'],False,2,1,Good Girl Gone Bad: The Remixes,Rihanna,spotify:track:3empwGY5IFwaRgn5R8r1p1,0.804,0.878,11,-4.38,0,0.0468,0.00989,0.000661,0.584,0.904,127.978,4
29,Shut Up And Drive - The Wideboys,219040,False,"['Rihanna', 'Wideboys']",True,3,1,Good Girl Gone Bad: The Remixes,Rihanna,spotify:track:1XekHLeG9WMs4Iy4EbbvCR,0.611,0.909,1,-3.836,1,0.326,0.000666,0.00949,0.343,0.573,128.051,4
