,name_track,duration_ms,explicit,artists_track,artists_track_uri,featuring,track_number,disc_number,name_album,artists_album,total_tracks,uri_track,uri_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,Consideration,161066,True,"['Rihanna', 'SZA']","['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H', 'spotify:artist:7tYKF4w9nC0nq9CsPZTHyP']",True,1,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:6t90Z9XkdsHD8xMxro6KRP,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.883,0.584,7,-2.102,0,0.0465,0.0392,4.39e-06,0.0869,0.784,144.975,4
1,James Joint,72080,True,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,2,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:6K4Co1NQyOnoFEJMkZHkln,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.399,0.203,4,-11.649,1,0.0298,0.66,0.000163,0.27,0.405,134.202,4
2,Kiss It Better,253080,True,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,3,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:0UHB9METy4VCXNgkcGqHqS,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.619,0.806,3,-4.8,0,0.0483,0.272,0.0,0.0671,0.877,95.0,4
3,Work,219320,True,"['Rihanna', 'Drake']","['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H', 'spotify:artist:3TVXtAsR1Inumwj472S9r4']",True,4,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:72TFWvU3wUYdUuxejTTIzt,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.725,0.534,11,-6.238,1,0.0946,0.0752,0.0,0.0919,0.558,91.974,4
4,Desperado,186466,False,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,5,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:4mCf3vQf7z0Yseo0RxAi3V,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.685,0.61,0,-5.221,0,0.0439,0.323,0.0,0.102,0.323,94.384,3
5,Woo,235586,True,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,6,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:3HQcsqRjRdruUjkbDSgmVF,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.42,0.466,9,-5.298,1,0.0326,0.0546,0.00389,0.298,0.185,115.004,4
6,Needed Me,191600,True,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,7,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:4pAl7FkDMNBsjykPXo91B3,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.671,0.314,5,-8.091,0,0.244,0.11,0.0,0.0825,0.296,110.898,4
7,"Yeah, I Said It",133080,True,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,8,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:7eDYNlBwRMeFOZHOZ95dZ1,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.509,0.38,7,-7.479,1,0.158,0.547,1.21e-06,0.36,0.249,127.88,4
8,Same Ol’ Mistakes,397093,False,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,9,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:6RtzmszGXs32TRhv5zTKNM,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.44,0.803,8,-5.415,1,0.0443,0.199,0.00282,0.0591,0.501,151.777,4
9,Never Ending,202506,False,['Rihanna'],['spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'],False,10,1,ANTI (Deluxe),"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'}, 'href': 'https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H', 'id': '5pKCCKE2ajJHZ9KAiaK11H', 'name': 'Rihanna', 'type': 'artist', 'uri': 'spotify:artist:5pKCCKE2ajJHZ9KAiaK11H'}]",16,spotify:track:7Jd5LgnSRQElW6FsTWVPzE,spotify:album:4UlGauD7ROb3YbVOFMgW5u,0.53,0.391,10,-9.096,1,0.0286,0.751,6.97e-05,0.187,0.521,82.215,4
